evaluation instances,total train time,total train speed,last train time,last train speed,test time,test speed,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
250000.0,1.15625,216216.2162162162,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.3,80.56750887483874,81.38195777351248,79.18454935622317,250000.0,427944.0,165.0,83.0,83.0,8.0,0.0,0.0,1.0
260000.0,1.203125,216103.8961038961,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.9,77.7984014849069,78.10650887573965,76.68067226890757,260000.0,450328.0,173.0,87.0,87.0,8.0,0.0,0.0,1.0
270000.0,1.25,216000.0,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.4,80.79239378794003,81.06508875739645,80.24691358024691,270000.0,460120.0,177.0,89.0,89.0,8.0,0.0,0.0,1.0
280000.0,1.296875,215903.61445783134,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.4,82.77512728379781,82.3045267489712,81.81818181818183,280000.0,496592.0,191.0,96.0,96.0,9.0,0.0,0.0,1.0
290000.0,1.328125,218352.9411764706,0.03125,320000.0,0.0,Infinity,1000.0,90.4,80.76637963159602,80.7615230460922,79.48717948717949,290000.0,517616.0,199.0,100.0,100.0,9.0,0.0,0.0,1.0
300000.0,1.375,218181.81818181818,0.046875,213333.33333333334,0.0,Infinity,1000.0,89.4,78.79465625337586,79.45736434108528,77.73109243697479,300000.0,543192.0,211.0,106.0,106.0,9.0,0.0,0.0,1.0
310000.0,1.421875,218021.97802197802,0.046875,213333.33333333334,0.0,Infinity,1000.0,88.7,77.39746851647385,77.30923694779118,76.70103092783506,310000.0,579168.0,223.0,112.0,112.0,9.0,0.0,0.0,1.0
320000.0,1.453125,220215.05376344087,0.03125,320000.0,0.0,Infinity,1000.0,89.60000000000001,79.2,77.77777777777779,78.51239669421489,320000.0,579728.0,223.0,112.0,112.0,9.0,0.0,0.0,1.0
330000.0,1.484375,222315.7894736842,0.03125,320000.0,0.015625,64000.0,1000.0,90.0,80.01143346006086,80.03992015968065,79.07949790794979,330000.0,590080.0,227.0,114.0,114.0,9.0,0.0,0.0,1.0
340000.0,1.53125,222040.81632653062,0.046875,213333.33333333334,0.0,Infinity,1000.0,90.0,79.99831985886814,79.59183673469387,79.16666666666667,340000.0,610464.0,235.0,118.0,118.0,9.0,0.0,0.0,1.0
350000.0,1.5625,224000.0,0.03125,320000.0,0.0,Infinity,1000.0,91.2,82.40225251167851,82.25806451612904,80.95238095238095,350000.0,615960.0,237.0,119.0,119.0,9.0,0.0,0.0,1.0
360000.0,1.578125,228118.81188118813,0.015625,640000.0,0.015625,64000.0,1000.0,90.3,80.55753766225436,81.0916179337232,79.49260042283298,360000.0,631488.0,243.0,122.0,122.0,9.0,0.0,0.0,1.0
370000.0,1.625,227692.3076923077,0.046875,213333.33333333334,0.0,Infinity,1000.0,91.7,83.34604117340183,83.13008130081302,82.18884120171674,370000.0,636104.0,245.0,123.0,123.0,9.0,0.0,0.0,1.0
380000.0,1.65625,229433.96226415093,0.03125,320000.0,0.015625,64000.0,1000.0,90.10000000000001,80.06363526521407,80.16032064128257,77.60180995475113,380000.0,647016.0,249.0,125.0,125.0,9.0,0.0,0.0,1.0
390000.0,1.6875,231111.11111111112,0.03125,320000.0,0.015625,64000.0,1000.0,89.60000000000001,79.1990015520745,79.36507936507937,78.15126050420169,390000.0,677512.0,261.0,131.0,131.0,9.0,0.0,0.0,1.0
400000.0,1.71875,232727.27272727274,0.03125,320000.0,0.0,Infinity,1000.0,90.4,80.80207337607538,80.95238095238095,79.3103448275862,400000.0,688424.0,265.0,133.0,133.0,9.0,0.0,0.0,1.0
